"Contract","Title","Company","PDF URL","Country","Concession/License name","Signature date","Language","Disclosure mode","Host gov contract"
"Guinea dd20121231 Deed-of-Assignment","Deed-of-Assignment","SCS Corporation Ltd, Tullow Guinea Ltd","http://downloads.openoil.net/contracts/gn/gn__dd20121231_Deed-of-Assignment_SCS_Tullow.pdf","GN","","2012-12-31T00:00:00","English","corporate","no"
"Guinea dd20121231 JOA-Amend","JOA-Amend","SCS Corporation Ltd, Dana Petroleum E&p Limited, Tullow Guinea Ltd","http://downloads.openoil.net/contracts/gn/gn__dd20121231_JOA-Amend_SCS_Dana_Tullow.pdf","GN","","2012-12-31T00:00:00","English","corporate","no"
"Hungary Mining-Plot dd20080410 Prod-Dev-Agree","Prod-Dev-Agree","Esso Exploration International Limited, Falcon Oil And Gas Ltd, TXM Exploration And Production Llc","http://downloads.openoil.net/contracts/hu/hu_Mining-Plot_dd20080410_Prod-Dev-Agree_ExxonMobil_Falcon_TXM.pdf","HU","","2008-04-10T00:00:00","English","corporate","no"
"Iceland IS6708/1 IS6708/2 IS6808/10 dd20130104 Explo-Prod-Licence","Explo-Prod-Licence","Islenskt Kolventi ehf, Petoro Iceland AS, Faroe Petroleum Norges AS","http://downloads.openoil.net/contracts/is/is_IS6708/1_IS6708/2_IS6808/10_dd20130104_Explo-Prod-Licence_Islenskt-Kolventi_Petoro-Iceland_Faroe-Petroleum.pdf","IS","","2013-01-04T00:00:00","English","government","yes"
"Iceland IS6809/2 IS6809/3 IS6909/11 dd20130104 Explo-Prod-Licence","Explo-Prod-Licence","Kolvetni ehf, Petoro Iceland As, Valiant Petroleum ehf","http://downloads.openoil.net/contracts/is/is_IS6809/2_IS6809/3_IS6909/11_dd20130104_Explo-Prod-Licence_Kolvetni_Petoro-Iceland_Valiant-Petroleum.pdf","IS","","2013-01-04T00:00:00","English","government","yes"
"Iceland IS6809/4 IS6809/5 IS6809/6 dd20140122 Explo-Prod-Licence","Explo-Prod-Licence","Eykon Energy ehf, CNOOC Iceland ehf, Petoro Iceland AS","http://downloads.openoil.net/contracts/is/is_IS6809/4_IS6809/5_IS6809/6_dd20140122_Explo-Prod-Licence_Eykon-Energy_CNOOC_Petoro-Iceland.pdf","IS","","2014-01-22T00:00:00","English","government","yes"
"India Amguri-Field dd20010223 PSC","PSC","Assam Company LTD, Joshi Technologies Inter. Inc.","http://downloads.openoil.net/contracts/in/in_Amguri-Field_dd20010223_PSC_Assam_%20Joshi.pdf","IN","","2001-02-23T00:00:00","English","corporate","yes"
"India Block-AA-ON/7 dd19990219 PSC","PSC","Assam Company LTD, Canoro Resources LTD, Centurion Energy","http://downloads.openoil.net/contracts/in/in_Block-AA-ON-7_dd19990219_PSC_Canoro_%20Centurion.pdf","IN","","1999-02-19T00:00:00","English","found elsewhere","yes"
"India Block-AA-ONN-2003/2 dd00000000 PSC","PSC","NTPC LTD, Geopetrol International INC, Canoro Resources LTD.","http://downloads.openoil.net/contracts/in/in_Block%20AA-ONN-2003-2_dd00000000_PSC_NTPC_%20Canoro.pdf","IN","","NULL","English","corporate","yes"
"India Block-CB-ON-2 dd20000412 PSC","PSC","Oil & Natural Gas Corporation Ltd., Gujarat state Petroluem, Hindustan Exploration Company Ltd","http://downloads.openoil.net/contracts/in/in_Block-CB-ON-2_dd20000412_PSC_ONGC_%20GSPC_%20HOEC.pdf","IN","","2000-04-12T00:00:00","English","corporate","yes"
"India Block-CB-ONN-2003/2 dd20050923 PSC","PSC","Gujarat State Petroleum Company, Gail (India) Limited, Jubilant Capital Pvt. Limited, GeoGlobal Resources (Barbados) Inc","http://downloads.openoil.net/contracts/in/in_Block-CB-ONN-2003/2_dd20050923_PSC_GSPC_GAIL_JCPL.pdf","IN","","2005-09-23T00:00:00","English","corporate","yes"
"India Block-DS-ONN-2003/1 dd20050923 PSC","PSC","Geoglobal Resources (Barbados) INC","http://downloads.openoil.net/contracts/in/in_Block-DS-ONN-2003-1_dd20050923_PSC_Geoglobal.pdf","IN","","2005-09-23T00:00:00","English","corporate","yes"
